uid,local_model_dir,commit,commit_date,eval_date,params,accuracy,evaluate,pareto,reward,vali_evaluated,hf_account,flops,score,block,ext_idx,lr
245,/root/dev/NASChain/cache/models--NASJesus--dylr93_2_29/snapshots/766940312c8cbb96e5dfded8b22f2a1cf29baf14/model.pt,766940312c8cbb96e5dfded8b22f2a1cf29baf14,2024-10-22 07:28:04+00:00,2024-11-12 09:08:45,200000.0,93.0,True,False,False,False,NASJesus/dylr93_2_29,29000000.0,0.0,4097315.0,2147483647.0,0.1
246,/root/dev/NASChain/cache/models--NASJesus--dylr83_1_2/snapshots/b615d2b2f99509ae5e5f4b4902ea011105cdddf5/model.pt,b615d2b2f99509ae5e5f4b4902ea011105cdddf5,2024-10-23 15:55:34+00:00,2024-11-12 09:09:05,10000.0,83.0,True,False,False,False,NASJesus/dylr83_1_2,2000000.0,0.0,4107051.0,2147483647.0,0.19
247,/root/dev/NASChain/cache/models--NASJesus--84_312ping/snapshots/ec5ab6a531b82c3dd55bc8ce2e9d6cd9a1aa691b/model.pt,ec5ab6a531b82c3dd55bc8ce2e9d6cd9a1aa691b,2024-10-09 04:22:03+00:00,2024-11-12 09:09:16,10000.0,84.0,True,False,False,False,NASJesus/84_312ping,4000000.0,0.0,4002927.0,2147483647.0,0.025
248,/root/dev/NASChain/cache/models--pva1987--naschain_5/snapshots/e813054672c031849cb1894c3c8dd6545a70234d/model.pt,e813054672c031849cb1894c3c8dd6545a70234d,2024-09-10 14:42:53+00:00,2024-11-12 09:09:34,40000.0,82.0,True,False,False,False,pva1987/naschain_5,6000000.0,0.0,3797288.0,2147483647.0,0.025
249,/root/dev/NASChain/cache/models--sub31--test1/snapshots/be88b25492306c5cbd82d242c04cd35941c56801/model.pt,be88b25492306c5cbd82d242c04cd35941c56801,2024-10-28 04:57:45+00:00,2024-11-12 09:09:43,70000.0,83.0,True,False,False,False,sub31/test1,2000000.0,0.0,4139682.0,2147483647.0,0.025
252,/root/dev/NASChain/cache/models--FavoritCoin--naschain_5/snapshots/33267fce351f4187900287d5a347e3dee06cfaf3/model.pt,33267fce351f4187900287d5a347e3dee06cfaf3,2024-09-12 15:04:08+00:00,2024-11-12 09:10:02,200000.0,86.0,True,False,False,False,FavoritCoin/naschain_5,27000000.0,0.0,3811790.0,2147483647.0,0.025
253,/root/dev/NASChain/cache/models--henuzzz--naschain_5/snapshots/b2e8700a3981518ceff70230f646d8384165f8f8/model.pt,b2e8700a3981518ceff70230f646d8384165f8f8,2024-10-22 06:44:27+00:00,2024-11-12 09:10:11,90000.0,84.0,True,False,False,False,henuzzz/naschain_5,15000000.0,0.0,4097097.0,2147483647.0,0.025
254,/root/dev/NASChain/cache/models--NASJesus--dylr86_2_4/snapshots/e1863f9766e38278fa24ffdb83703ed1e4917820/model.pt,e1863f9766e38278fa24ffdb83703ed1e4917820,2024-10-21 21:28:32+00:00,2024-11-12 09:10:18,20000.0,86.0,True,False,False,False,NASJesus/dylr86_2_4,4000000.0,0.0,4094318.0,2147483647.0,0.09
200,/root/dev/NASChain/cache/models--khanhnn55--nas77d65c56e948/snapshots/0112cee11f0c15034c1c1092d8f0e4ee8988dc82/model.pt,0112cee11f0c15034c1c1092d8f0e4ee8988dc82,2024-11-13 23:28:12+00:00,2024-11-14 00:05:30,30000.0,91.0,True,True,True,True,khanhnn55/nas77d65c56e948,9000000.0,0.025866810132239435,4260040.0,2147483647.0,0.166
24,/root/dev/NASChain/cache/models--net31--naschainv24_25426/snapshots/91488f6ea5f74d48909853571489d06074d8b8d6/model.pt,91488f6ea5f74d48909853571489d06074d8b8d6,2024-11-15 17:36:55+00:00,2024-11-15 17:56:30,40000.0,87.0,True,True,True,True,net31/naschainv24_25426,2000000.0,0.008993092662481206,4272647.0,2147483647.0,0.1
75,/root/dev/NASChain/cache/models--cyka-blyat--too-richs-kid/snapshots/0db1042f5f89ec919b15d5f0e16940f67588c60c/model.pt,0db1042f5f89ec919b15d5f0e16940f67588c60c,2024-11-17 12:13:17+00:00,2024-11-17 13:10:11,10000.0,84.0,True,False,False,True,cyka-blyat/too-richs-kid,3000000.0,0.0,4285330.0,2147483647.0,0.1
156,/root/dev/NASChain/cache/models--cyka-blyat--too-rich-kid/snapshots/aa663a3af54e06b906323ecbfed5ac43f0f00e25/model.pt,aa663a3af54e06b906323ecbfed5ac43f0f00e25,2024-11-18 14:40:50+00:00,2024-11-18 14:58:35,10000.0,83.0,True,False,False,True,cyka-blyat/too-rich-kid,3000000.0,0.0,4293242.0,2147483647.0,0.15
87,/root/dev/NASChain/cache/models--cyka-blyat--too-rich-kids/snapshots/dd09c1c53c40f1758ae5ae7251dfc2aef2533129/model.pt,dd09c1c53c40f1758ae5ae7251dfc2aef2533129,2024-11-18 14:30:04+00:00,2024-11-18 14:50:41,10000.0,81.0,True,False,False,True,cyka-blyat/too-rich-kids,3000000.0,0.0,4293191.0,2147483647.0,0.14
139,/root/dev/NASChain/cache/models--NASassin--naschainv01/snapshots/1fb8d15eb352dde4026e15d1e68ca710238e4a9a/model.pt,1fb8d15eb352dde4026e15d1e68ca710238e4a9a,2024-11-18 12:52:35+00:00,2024-11-18 13:28:47,40000.0,89.0,True,False,False,False,NASassin/naschainv01,6000000.0,0.0,4292720.0,2147483647.0,0.15239
