uid,local_model_dir,commit,commit_date,eval_date,params,accuracy,evaluate,pareto,reward,vali_evaluated,hf_account,flops,score,block,ext_idx,lr
23,/root/.bittensor/subnets/NASChain/cache/models--papagruz6--naschain_5/snapshots/93be2f192f7308395c5a48d25f98672fd1635795/model.pt,93be2f192f7308395c5a48d25f98672fd1635795,2024-10-07 18:41:44+00:00,2024-10-07 18:54:21,40000.0,81.0,True,False,False,False,papagruz6/naschain_5,5000000.0,0.0,3992834.0,2147483647.0,0.025
172,/root/.bittensor/subnets/NASChain/cache/models--papagruz10--naschain_5/snapshots/d62cf0a60f9abb7f9ed18bb40dde716867ae7ad5/model.pt,d62cf0a60f9abb7f9ed18bb40dde716867ae7ad5,2024-10-07 18:45:42+00:00,2024-10-07 19:05:59,40000.0,81.0,True,False,False,False,papagruz10/naschain_5,5000000.0,0.0,3992853.0,2147483647.0,0.025
190,/root/.bittensor/subnets/NASChain/cache/models--papagruz11--naschain_5/snapshots/5e5caf9dab78204dfbc6f2e23dd04c199d6d51ff/model.pt,5e5caf9dab78204dfbc6f2e23dd04c199d6d51ff,2024-09-22 17:58:44+00:00,2024-09-28 09:04:44,300000.0,85.0,True,False,False,False,papagruz11/naschain_5,33000000.0,0.0,3884649.0,2147483647.0,0.025
126,/root/.bittensor/subnets/NASChain/cache/models--papagruz9--naschain_5/snapshots/fcd5acc6d049b562e4e0ec3c0f2984bfd4cd3917/model.pt,fcd5acc6d049b562e4e0ec3c0f2984bfd4cd3917,2024-10-07 18:42:53+00:00,2024-10-07 19:03:01,40000.0,81.0,True,False,False,False,papagruz9/naschain_5,5000000.0,0.0,3992839.0,2147483647.0,0.025
44,/root/NASChain/cache/models--NASJesus--94_312ping1/snapshots/efa265dda816eb162d67331b8cda1fffea71c5ee/model.pt,efa265dda816eb162d67331b8cda1fffea71c5ee,2024-10-12 03:17:51+00:00,2024-10-12 04:49:03,800000.0,94.0,True,True,True,True,NASJesus/94_312ping1,120000000.0,0.03772411529890622,4024186.0,2147483647.0,0.025
80,/root/.bittensor/subnets/NASChain/cache/models--luaqi--nas65885413/snapshots/df9554ba26f6468f4be07bd83f489db7c5e251c0/model.pt,df9554ba26f6468f4be07bd83f489db7c5e251c0,2024-09-30 12:51:56+00:00,2024-09-30 12:55:12,90000.0,90.0,True,False,False,True,luaqi/nas65885413,13000000.0,0.0,3940692.0,2147483647.0,0.025
42,/root/NASChain/cache/models--aquafina001--real_nas55043464/snapshots/4c1de7de295082e173574a44ca17fcd5f206f29e/model.pt,4c1de7de295082e173574a44ca17fcd5f206f29e,2024-10-10 15:14:12+00:00,2024-10-10 15:38:26,700000.0,94.0,True,False,False,True,aquafina001/real_nas55043464,160000000.0,0.0,4013379.0,2147483647.0,0.025
72,/root/.bittensor/subnets/NASChain/cache/models--khanhnn55--nasd452f92007c0/snapshots/8fa96c09f50a0bc862dad897b4e03559925d40b2/model.pt,8fa96c09f50a0bc862dad897b4e03559925d40b2,2024-09-27 23:50:59+00:00,2024-09-28 08:58:44,40000.0,88.0,True,False,False,False,khanhnn55/nasd452f92007c0,12000000.0,0.0,3922392.0,2147483647.0,0.025
40,/root/dev/NASChain/cache/models--clinton07021996--naschainv40/snapshots/996cd82868e5ad8c6884a46f6d00ff559b2d3219/model.pt,996cd82868e5ad8c6884a46f6d00ff559b2d3219,2024-10-21 10:37:47+00:00,2024-10-21 10:52:58,80000.0,85.0,True,False,False,True,clinton07021996/naschainv40,3000000.0,0.0,4091065.0,2147483647.0,0.025
19,/root/.bittensor/subnets/NASChain/cache/models--luaqi--nas06243898/snapshots/ad0d109abd5d6de6d9d85b999858cdd615e13c77/model.pt,ad0d109abd5d6de6d9d85b999858cdd615e13c77,2024-09-27 08:56:39+00:00,2024-09-28 08:56:11,20000.0,85.0,True,True,True,True,luaqi/nas06243898,4000000.0,0.03327416306004647,3917923.0,2147483647.0,0.025
27,/root/.bittensor/subnets/NASChain/cache/models--luaqi--nas19453792/snapshots/1fbb032e790a0a4a76fb02d741f8f94e7dc0258d/model.pt,1fbb032e790a0a4a76fb02d741f8f94e7dc0258d,2024-10-03 16:25:22+00:00,2024-10-03 17:59:34,200000.0,92.0,True,False,False,True,luaqi/nas19453792,25000000.0,0.0,3963358.0,2147483647.0,0.025
31,/root/NASChain/cache/models--aquafina001--real_nas92278357/snapshots/96157c38e74327b5b490b0bf0b7bcc2f3c668324/model.pt,96157c38e74327b5b490b0bf0b7bcc2f3c668324,2024-10-10 13:41:27+00:00,2024-10-10 15:37:27,100000.0,91.0,True,False,False,True,aquafina001/real_nas92278357,24000000.0,0.0,4012915.0,2147483647.0,0.025
53,/root/NASChain/cache/models--aquafina001--real_nas60106537/snapshots/58edde31460aa07b7d669271ae1c66c6438c911a/model.pt,58edde31460aa07b7d669271ae1c66c6438c911a,2024-10-11 16:01:17+00:00,2024-10-11 16:25:33,70000.0,90.0,True,False,False,True,aquafina001/real_nas60106537,9000000.0,0.0,4020811.0,2147483647.0,0.025
91,/root/.bittensor/subnets/NASChain/cache/models--nasassass--real_nas19518982/snapshots/a0e760aac0a2d5b6e523dc6140f225918033a47b/model.pt,a0e760aac0a2d5b6e523dc6140f225918033a47b,2024-09-24 14:52:31+00:00,2024-09-28 08:59:40,10000.0,81.0,True,False,False,True,nasassass/real_nas19518982,2000000.0,0.0,3898117.0,2147483647.0,0.025
95,/root/.bittensor/subnets/NASChain/cache/models--luaqi--nas92455962/snapshots/ea136223a9c5a246f6584781f8f268ff62be0532/model.pt,ea136223a9c5a246f6584781f8f268ff62be0532,2024-10-03 12:32:23+00:00,2024-10-03 12:55:39,200000.0,88.0,True,False,False,True,luaqi/nas92455962,8000000.0,0.0,3962193.0,2147483647.0,0.025
141,/root/.bittensor/subnets/NASChain/cache/models--nasassass--real_nas67725954/snapshots/9cc5f24d343ea8911b19614dddebf848144b1753/model.pt,9cc5f24d343ea8911b19614dddebf848144b1753,2024-09-30 10:35:38+00:00,2024-09-30 10:40:03,30000.0,85.0,True,True,True,True,nasassass/real_nas67725954,3000000.0,0.033269740950536066,3940011.0,2147483647.0,0.025
147,/root/.bittensor/subnets/NASChain/cache/models--aquafina001--real_nas86591778/snapshots/68a0bc1dd5e0dd92be1083e39fd6f7910816fc4f/model.pt,68a0bc1dd5e0dd92be1083e39fd6f7910816fc4f,2024-10-09 17:20:17+00:00,2024-10-09 17:36:49,50000.0,88.0,True,False,False,True,aquafina001/real_nas86591778,6000000.0,0.0,4006814.0,2147483647.0,0.025
169,/root/.bittensor/subnets/NASChain/cache/models--aquafina001--real_nas54940810/snapshots/753b64a817595fd8485eac44c96a36b68e2e9ff4/model.pt,753b64a817595fd8485eac44c96a36b68e2e9ff4,2024-10-02 05:41:04+00:00,2024-10-02 06:07:49,30000.0,86.0,True,True,True,True,aquafina001/real_nas54940810,4000000.0,0.03547834909901247,3952937.0,2147483647.0,0.025
189,/root/.bittensor/subnets/NASChain/cache/models--honghee1--naschain_5/snapshots/c2ed12fe8518a9ff44f9a8b022a2886efaa61125/model.pt,c2ed12fe8518a9ff44f9a8b022a2886efaa61125,2024-09-27 05:09:02+00:00,2024-09-28 09:04:41,60000.0,87.0,True,False,False,False,honghee1/naschain_5,8000000.0,0.0,3916785.0,2147483647.0,0.025
208,/root/.bittensor/subnets/NASChain/cache/models--summertime0--nashk1/snapshots/358ed3bc08d5692022cf519c3152738b919f0a87/model.pt,358ed3bc08d5692022cf519c3152738b919f0a87,2024-09-21 15:51:36+00:00,2024-09-28 09:05:25,20000.0,83.0,True,False,False,True,summertime0/nashk1,3000000.0,0.0,3876814.0,2147483647.0,0.025
55,/root/.bittensor/subnets/NASChain/cache/models--snickers4--naschain_5/snapshots/04e66912afaae2c1018b147b16ae49094cb4a729/model.pt,04e66912afaae2c1018b147b16ae49094cb4a729,2024-10-07 23:50:55+00:00,2024-10-07 23:54:46,30000.0,86.0,True,False,False,True,snickers4/naschain_5,5000000.0,0.0,3994374.0,2147483647.0,0.025
108,/root/.bittensor/subnets/NASChain/cache/models--geordion3--naschain/snapshots/2b7f32427eb1022c8fcd67d06a2cc24fe783eae9/model.pt,2b7f32427eb1022c8fcd67d06a2cc24fe783eae9,2024-07-01 01:34:24+00:00,2024-09-29 19:17:47,20000.0,0.0,True,False,False,False,geordion3/naschain,300000.0,0.0,3295395.0,2147483647.0,0.025
89,/root/.bittensor/subnets/NASChain/cache/models--luaqi--nas88760713/snapshots/e43e0fa1a4013af65cf646d607ef67d846e71b50/model.pt,e43e0fa1a4013af65cf646d607ef67d846e71b50,2024-09-30 01:40:24+00:00,2024-09-30 02:02:55,200000.0,93.0,True,False,False,True,luaqi/nas88760713,66000000.0,0.0,3937335.0,2147483647.0,0.025
171,/root/.bittensor/subnets/NASChain/cache/models--luaqi--nas78238257/snapshots/c8396d3d310356d1bad1379ebac522badebe504b/model.pt,c8396d3d310356d1bad1379ebac522badebe504b,2024-09-29 21:58:20+00:00,2024-09-29 22:50:40,20000.0,82.0,True,False,False,True,luaqi/nas78238257,2000000.0,0.0,3936225.0,2147483647.0,0.025
52,/root/NASChain/cache/models--mimir7--naschain_5/snapshots/c2268d8456b4db13a2f3d72e5fb1755f95ae27f9/model.pt,c2268d8456b4db13a2f3d72e5fb1755f95ae27f9,2024-10-13 16:11:49+00:00,2024-10-13 16:56:00,30000.0,88.0,True,False,False,True,mimir7/naschain_5,7000000.0,0.0,4035219.0,2147483647.0,0.025
2,/root/.bittensor/subnets/NASChain/cache/models--mimir4--naschain_5/snapshots/d5b1f81add2b8a50cf26ec7fc42b75820d8ecb0c/model.pt,d5b1f81add2b8a50cf26ec7fc42b75820d8ecb0c,2024-10-07 01:04:16+00:00,2024-10-07 01:42:54,10000.0,83.0,True,True,True,True,mimir4/naschain_5,3000000.0,0.02926421608005429,3987553.0,2147483647.0,0.025
30,/root/.bittensor/subnets/NASChain/cache/models--luaqi--nas46146989/snapshots/036417b69eb3f68c9bf82ef5635c017944231b07/model.pt,036417b69eb3f68c9bf82ef5635c017944231b07,2024-10-03 14:52:31+00:00,2024-10-03 16:08:29,100000.0,90.0,True,False,False,True,luaqi/nas46146989,14000000.0,0.0,3962894.0,2147483647.0,0.025
51,/root/.bittensor/subnets/NASChain/cache/models--luaqi--nas08015795/snapshots/ae518c69561eaea2839507c1ab361be98f9d94d8/model.pt,ae518c69561eaea2839507c1ab361be98f9d94d8,2024-10-03 12:34:52+00:00,2024-10-03 12:51:06,50000.0,88.0,True,False,False,True,luaqi/nas08015795,7000000.0,0.0,3962206.0,2147483647.0,0.025
77,/root/.bittensor/subnets/NASChain/cache/models--luaqi--nas36646652/snapshots/4d2786069a1bf25314f25f1753d71a2612356180/model.pt,4d2786069a1bf25314f25f1753d71a2612356180,2024-10-02 05:50:08+00:00,2024-10-02 06:00:24,100000.0,92.0,True,False,False,True,luaqi/nas36646652,26000000.0,0.0,3952982.0,2147483647.0,0.025
54,/root/.bittensor/subnets/NASChain/cache/models--gertrudishaviland2--gunk/snapshots/17174df665edcd5181e792f4be07a389cca48aed/model.pt,main,2024-10-02 15:00:01+00:00,2024-10-02 15:12:06,100000.0,92.0,True,False,False,True,gertrudishaviland2/gunk,26000000.0,0.0,3955731.0,2147483647.0,0.025
